Date,Total Doses,Doses per 100 people,New Doses,Reported Doses,Country
01-Jun,"3,130,057",9.55,"99,681","3,130,057",Malaysia
08-Jun,"3,822,620",11.66,"154,193","3,822,620",Malaysia
15-Jun,"4,958,855",15.13,"221,921","4,958,855",Malaysia
22-Jun,"6,403,923",19.54,"258,781","6,403,923",Malaysia
29-Jun,"7,990,678",24.38,"242,993","7,990,678",Malaysia
06-Jul,"9,887,165",30.17,"353,609","9,887,165",Malaysia
13-Jul,"12,515,705",38.19,"436,467","12,515,705",Malaysia
20-Jul,"15,355,729",46.85,"309,835","15,355,729",Malaysia
27-Jul,"18,757,546",57.23,"570,375","18,757,546",Malaysia
03-Aug,"22,459,470",68.52,"499,827","22,459,470",Malaysia
10-Aug,"25,649,207",78.26,"369,250","25,649,207",Malaysia
17-Aug,"29,106,735",88.8,"536,233","29,106,735",Malaysia
24-Aug,"32,448,266",99,"429,152","32,448,266",Malaysia
31-Aug,"34,951,281",106.64,"270,654","34,951,281",Malaysia
01-Jun,"4,096,853",69.48,"49,202","4,047,651",Singapore
08-Jun,"4,434,826",75.21,"42,759","4,392,067",Singapore
15-Jun,"4,739,617",80.38,"48,231","4,691,386",Singapore
22-Jun,"5,077,119",86.1,"48,113","5,029,006",Singapore
29-Jun,"5,412,255",91.78,"46,452","5,365,803",Singapore
06-Jul,"5,933,179",100.62,"74,608","5,933,179",Singapore
13-Jul,"6,440,735",109.23,"62,672","6,440,735",Singapore
20-Jul,"6,837,539",115.96,339,"6,837,539",Singapore
27-Jul,"7,305,300",123.89,"48,969","7,305,300",Singapore
03-Aug,"7,767,442",131.73,"63,696","7,767,442",Singapore
10-Aug,"8,238,633",139.72,"93,396","8,145,237",Singapore
17-Aug,"8,627,744",146.32,"26,877","8,547,113",Singapore
24-Aug,"8,781,330",148.92,"15,464","8,781,330",Singapore
31-Aug,"8,890,717",150.77,"14,715","8,890,717",Singapore
01-Jun,"4,362,739",16.92,"119,139","4,362,739",Australia
08-Jun,"5,203,977",20.18,"127,564","5,203,977",Australia
15-Jun,"5,931,245",23,"63,946","5,931,245",Australia
22-Jun,"6,719,384",26.06,"89,681","6,719,384",Australia
29-Jun,"7,500,700",29.09,"90,767","7,500,700",Australia
06-Jul,"8,402,191",32.58,"146,718","8,402,191",Australia
13-Jul,"9,304,026",36.08,"154,209","9,304,026",Australia
20-Jul,"10,295,444",39.92,"169,911","10,295,444",Australia
27-Jul,"11,396,784",44.19,"185,337","11,396,784",Australia
03-Aug,"12,594,451",48.84,"200,558","12,594,451",Australia
10-Aug,"13,958,045",54.13,"234,899","13,958,045",Australia
17-Aug,"15,618,391",60.56,"279,465","15,618,391",Australia
24-Aug,"17,440,596",67.63,"289,942","17,440,596",Australia
31-Aug,"19,362,666",75.08,"276,925","19,362,666",Australia
01-Jun,"17,562,362",13.93,"902,569","17,562,362",Japan
08-Jun,"23,999,647",19.04,"1,091,824","23,999,647",Japan
15-Jun,"31,564,153",25.04,"1,215,633","31,564,153",Japan
22-Jun,"40,116,564",31.83,"1,345,732","40,116,564",Japan
29-Jun,"49,541,415",39.3,"1,421,382","49,541,415",Japan
06-Jul,"58,818,757",46.66,"1,472,018","58,818,757",Japan
13-Jul,"68,620,161",54.44,"1,362,614","68,620,161",Japan
20-Jul,"77,436,900",61.43,"1,276,998","77,436,900",Japan
27-Jul,"84,218,748",66.81,"1,230,924","84,218,748",Japan
03-Aug,"91,697,753",72.75,"817,379","91,697,753",Japan
10-Aug,"105,680,550",83.84,"2,767,535","105,680,550",Japan
17-Aug,"113,351,510",89.93,"2,300,521","113,351,510",Japan
24-Aug,"122,223,024",96.96,"1,956,459","122,223,024",Japan
31-Aug,"130,900,617",103.85,"2,140,754","130,900,617",Japan