Date,Cases_Local,Cases_Import,Total Cases
2021-01-01,2068,2,2070
2021-01-02,2295,9,2304
2021-01-03,1704,5,1709
2021-01-04,1741,8,1749
2021-01-05,2027,16,2043
2021-01-06,2593,4,2597
2021-01-07,3027,6,3033
2021-01-08,2643,2,2645
2021-01-09,2451,5,2456
2021-01-10,2433,7,2440
2021-01-11,2232,5,2237
2021-01-12,3309,6,3315
2021-01-13,2985,2,2987
2021-01-14,3337,7,3344
2021-01-15,3211,5,3216
2021-01-16,4029,8,4037
2021-01-17,3339,15,3354
2021-01-18,3306,7,3313
2021-01-19,3631,7,3638
2021-01-20,4008,5,4013
2021-01-21,3170,8,3178
2021-01-22,3631,6,3637
2021-01-23,4275,11,4286
2021-01-24,3346,7,3353
2021-01-25,3048,8,3056
2021-01-26,3585,2,3587
2021-01-27,3680,6,3686
2021-01-28,4094,8,4102
2021-01-29,5725,7,5732
2021-01-30,5728,5,5733
2021-01-31,5298,3,5301
2021-02-01,4214,9,4223
2021-02-02,3455,5,3460
2021-02-03,4284,6,4290
2021-02-04,4571,3,4574
2021-02-05,3391,4,3395
2021-02-06,3847,4,3851
2021-02-07,3731,8,3739
2021-02-08,3100,1,3101
2021-02-09,2764,6,2770
2021-02-10,3288,5,3293
2021-02-11,3384,15,3399
2021-02-12,3318,7,3325
2021-02-13,3499,1,3500
2021-02-14,2464,3,2467
2021-02-15,2176,1,2177
2021-02-16,2720,0,2720
2021-02-17,2998,7,3005
2021-02-18,2712,4,2716
2021-02-19,2936,9,2945
2021-02-20,2461,0,2461
2021-02-21,3297,6,3303
2021-02-22,2192,3,2195
2021-02-23,2468,4,2472
2021-02-24,3545,1,3546
2021-02-25,1924,6,1930
2021-02-26,2253,7,2260
2021-02-27,2364,1,2365
2021-02-28,2437,1,2438
2021-03-01,1828,7,1835
2021-03-02,1555,3,1558
2021-03-03,1745,2,1747
2021-03-04,2063,9,2072
2021-03-05,2154,5,2159
2021-03-06,1680,3,1683
2021-03-07,1683,10,1693
2021-03-08,1529,9,1538
2021-03-09,1280,2,1282
2021-03-10,1448,10,1458
2021-03-11,1647,5,1652
2021-03-12,1575,7,1582
2021-03-13,1470,12,1482
2021-03-14,1354,14,1368
2021-03-15,1208,9,1217
2021-03-16,1063,4,1067
2021-03-17,1219,7,1226
2021-03-18,1213,6,1219
2021-03-19,1576,11,1587
2021-03-20,1671,2,1673
2021-03-21,1327,11,1338
2021-03-22,1116,8,1124
2021-03-23,1384,9,1393
2021-03-24,1268,5,1273
2021-03-25,1360,1,1361
2021-03-26,1275,32,1307
2021-03-27,1199,5,1204
2021-03-28,1302,9,1311
2021-03-29,941,8,949
2021-03-30,1133,8,1141
2021-03-31,1482,2,1484
2021-04-01,1178,20,1198
2021-04-02,1294,26,1320
2021-04-03,1638,7,1645
2021-04-04,1349,7,1356
2021-04-05,1070,9,1079
2021-04-06,1300,24,1324
2021-04-07,1139,13,1152
2021-04-08,1285,17,1302
2021-04-09,1854,20,1874
2021-04-10,1510,5,1515
2021-04-11,1739,8,1747
2021-04-12,1317,12,1329
2021-04-13,1767,9,1776
2021-04-14,1889,6,1895
2021-04-15,2148,19,2167
2021-04-16,2551,29,2580
2021-04-17,2331,12,2343
2021-04-18,2195,10,2205
2021-04-19,2078,13,2091
2021-04-20,2341,7,2348
2021-04-21,2340,12,2352
2021-04-22,2875,29,2904
2021-04-23,2847,4,2851
2021-04-24,2717,27,2744
2021-04-25,2690,10,2700
2021-04-26,2776,4,2780
2021-04-27,2733,5,2738
2021-04-28,3142,13,3155
2021-04-29,3332,9,3341
2021-04-30,3788,2,3790
2021-05-01,2881,16,2897
2021-05-02,3418,10,3428
2021-05-03,2500,4,2504
2021-05-04,3120,6,3126
2021-05-05,3744,7,3751
2021-05-06,3551,16,3567
2021-05-07,4498,5,4503
2021-05-08,4519,5,4524
2021-05-09,3733,6,3739
2021-05-10,3807,5,3812
2021-05-11,3973,5,3978
2021-05-12,4765,7,4772
2021-05-13,4855,3,4858
2021-05-14,4113,1,4114
2021-05-15,4140,9,4149
2021-05-16,3780,2,3782
2021-05-17,4446,3,4449
2021-05-18,4865,5,4870
2021-05-19,6075,3,6078
2021-05-20,6806,2,6808
2021-05-21,6493,2,6495
2021-05-22,6320,3,6323
2021-05-23,6976,9,6985
2021-05-24,6509,26,6535
2021-05-25,7289,4,7293
2021-05-26,7478,5,7483
2021-05-27,7857,9,7866
2021-05-28,8290,2,8292
2021-05-29,9020,6,9026
2021-05-30,6999,4,7003
2021-05-31,6824,3,6827
2021-06-01,7105,2,7107
2021-06-02,7703,2,7705
2021-06-03,8209,64,8273
2021-06-04,7748,2,7750
2021-06-05,7452,8,7460
2021-06-06,6241,14,6255
2021-06-07,5271,14,5285
2021-06-08,5566,4,5570
2021-06-09,6239,11,6250
2021-06-10,5671,8,5679
2021-06-11,6849,4,6853
2021-06-12,5793,6,5799
2021-06-13,5304,5,5309
2021-06-14,4949,6,4955
2021-06-15,5419,6,5425
2021-06-16,5150,3,5153
2021-06-17,5738,3,5741
2021-06-18,6440,5,6445
2021-06-19,5911,1,5912
2021-06-20,5293,7,5300
2021-06-21,4611,8,4619
2021-06-22,4743,2,4745
2021-06-23,5244,7,5251
2021-06-24,5841,8,5849
2021-06-25,5812,32,5844
2021-06-26,5803,10,5813
2021-06-27,5586,3,5589
2021-06-28,5218,7,5225
2021-06-29,6437,14,6451
2021-06-30,6276,16,6292
2021-07-01,6988,5,6993
2021-07-02,6982,3,6985
2021-07-03,6658,11,6669
2021-07-04,6045,20,6065
2021-07-05,6387,26,6413
2021-07-06,7654,11,7665
2021-07-07,7097,26,7123
2021-07-08,8868,10,8878
2021-07-09,9180,7,9187
2021-07-10,9353,11,9364
2021-07-11,9105,18,9123
2021-07-12,8574,40,8614
2021-07-13,11079,27,11106
2021-07-14,11618,26,11644
2021-07-15,13215,13,13228
2021-07-16,12541,16,12557
2021-07-17,12528,19,12547
2021-07-18,10710,12,10722
2021-07-19,10972,48,11020
2021-07-20,12366,8,12374
2021-07-21,11985,7,11992
2021-07-22,13034,25,13059
2021-07-23,15573,32,15605
2021-07-24,15902,26,15928
2021-07-25,17045,6,17051
2021-07-26,14516,3,14519
2021-07-27,16117,26,16143
2021-07-28,17405,6,17411
2021-07-29,17170,32,17202
2021-07-30,16840,17,16857
2021-07-31,17786,9,17795
2021-08-01,17150,1,17151
2021-08-02,15764,6,15770
2021-08-03,17105,37,17142
2021-08-04,19819,23,19842
2021-08-05,20596,34,20630
2021-08-06,20889,13,20902
2021-08-07,19257,16,19273
2021-08-08,18688,10,18698
2021-08-09,17236,29,17265
2021-08-10,19991,0,19991
2021-08-11,20780,15,20795
2021-08-12,21668,58,21726
2021-08-13,21468,25,21493
2021-08-14,20670,8,20678
2021-08-15,20546,14,20560
2021-08-16,19740,19,19759
2021-08-17,19631,7,19638
2021-08-18,22242,4,22246
2021-08-19,22948,9,22957
2021-08-20,23564,23,23587
2021-08-21,22262,40,22302
2021-08-22,19807,5,19812
2021-08-23,17672,8,17680
2021-08-24,20837,22,20859
2021-08-25,22642,5,22647
2021-08-26,24599,8,24607
2021-08-27,22070,15,22085
2021-08-28,22597,12,22609
2021-08-29,20579,7,20586
2021-08-30,19268,16,19284
2021-08-31,20897,1,20898