Date,Rank,Doses per 100 people,Country,ISO Country Code,
01-Jun,1,96.26,United Kingdom,UK,
01-Jun,2,89.03,United States of America,US,
01-Jun,3,69.48,Singapore,SG,
01-Jun,4,47.22,China,CN,
01-Jun,5,16.92,Australia,AU,
01-Jun,6,15.3,India,IN,
01-Jun,7,13.93,Japan,JP,
01-Jun,8,13.81,New Zealand,NZ,
01-Jun,9,9.88,Indonesia,ID,
01-Jun,10,9.55,Malaysia,MY,
08-Jun,1,101.53,United Kingdom,UK,
08-Jun,2,91.29,United States of America,US,
08-Jun,3,75.21,Singapore,SG,
08-Jun,4,56.01,China,CN,
08-Jun,5,20.18,Australia,AU,
08-Jun,6,19.04,Japan,JP,
08-Jun,7,16.77,India,IN,
08-Jun,8,16,New Zealand,NZ,
08-Jun,9,11.66,Malaysia,MY,
08-Jun,10,10.72,Indonesia,ID,
15-Jun,1,106.24,United Kingdom,UK,
15-Jun,2,93.68,United States of America,US,
15-Jun,3,80.38,Singapore,SG,
15-Jun,4,63.97,China,CN,
15-Jun,5,25.04,Japan,JP,
15-Jun,6,23,Australia,AU,
15-Jun,7,18.38,New Zealand,NZ,
15-Jun,8,18.32,India,IN,
15-Jun,9,15.13,Malaysia,MY,
15-Jun,10,11.8,Indonesia,ID,
22-Jun,1,110.24,United Kingdom,UK,
22-Jun,2,95.89,United States of America,US,
22-Jun,3,86.1,Singapore,SG,
22-Jun,4,74.21,China,CN,
22-Jun,5,31.83,Japan,JP,
22-Jun,6,26.06,Australia,AU,
22-Jun,7,22.8,India,IN,
22-Jun,8,21.02,New Zealand,NZ,
22-Jun,9,19.54,Malaysia,MY,
22-Jun,10,13.24,Indonesia,ID,
29-Jun,1,113.76,United Kingdom,UK,
29-Jun,2,97.67,United States of America,US,
29-Jun,3,91.78,Singapore,SG,
29-Jun,4,84.87,China,CN,
29-Jun,5,39.3,Japan,JP,
29-Jun,6,29.09,Australia,AU,
29-Jun,7,24.38,Malaysia,MY,
29-Jun,8,23.7,New Zealand,NZ,
29-Jun,9,23.5,India,IN,
29-Jun,10,15.21,Indonesia,ID,
06-Jul,1,116.62,United Kingdom,UK,
06-Jul,2,100.62,Singapore,SG,
06-Jul,3,99.49,United States of America,US,
06-Jul,4,92.21,China,CN,
06-Jul,5,46.66,Japan,JP,
06-Jul,6,32.58,Australia,AU,
06-Jul,7,30.17,Malaysia,MY,
06-Jul,8,26.2,New Zealand,NZ,
06-Jul,9,25.43,India,IN,
06-Jul,10,17.17,Indonesia,ID,
13-Jul,1,119.04,United Kingdom,UK,
13-Jul,2,109.23,Singapore,SG,
13-Jul,3,100.61,United States of America,US,
13-Jul,4,97.08,China,CN,
13-Jul,5,54.44,Japan,JP,
13-Jul,6,38.19,Malaysia,MY,
13-Jul,7,36.08,Australia,AU,
13-Jul,8,28.93,New Zealand,NZ,
13-Jul,9,27.82,India,IN,
13-Jul,10,18.61,Indonesia,ID,
20-Jul,1,121.39,United Kingdom,UK,
20-Jul,2,115.96,Singapore,SG,
20-Jul,3,102.37,China,CN,
20-Jul,4,101.67,United States of America,US,
20-Jul,5,61.43,Japan,JP,
20-Jul,6,46.85,Malaysia,MY,
20-Jul,7,39.92,Australia,AU,
20-Jul,8,31.99,New Zealand,NZ,
20-Jul,9,29.82,India,IN,
20-Jul,10,21.28,Indonesia,ID,
27-Jul,1,123.89,Singapore,SG,
27-Jul,2,123.51,United Kingdom,UK,
27-Jul,3,109.63,China,CN,
27-Jul,4,102.91,United States of America,US,
27-Jul,5,66.81,Japan,JP,
27-Jul,6,57.23,Malaysia,MY,
27-Jul,7,44.19,Australia,AU,
27-Jul,8,32.02,India,IN,
27-Jul,9,26.22,New Zealand,NZ,
27-Jul,10,23.14,Indonesia,ID,
03-Aug,1,131.73,Singapore,SG,
03-Aug,2,125.5,United Kingdom,UK,
03-Aug,3,118.29,China,CN,
03-Aug,4,104.34,United States of America,US,
03-Aug,5,72.75,Japan,JP,
03-Aug,6,68.52,Malaysia,MY,
03-Aug,7,48.84,Australia,AU,
03-Aug,8,41.63,New Zealand,NZ,
03-Aug,9,34.83,India,IN,
03-Aug,10,25.16,Indonesia,ID,
10-Aug,1,139.72,Singapore,SG,
10-Aug,2,127.51,United Kingdom,UK,
10-Aug,3,125.2,China,CN,
10-Aug,4,105.9,United States of America,US,
10-Aug,5,83.84,Japan,JP,
10-Aug,6,78.26,Malaysia,MY,
10-Aug,7,54.13,Australia,AU,
10-Aug,8,47.24,New Zealand,NZ,
10-Aug,9,37.25,India,IN,
10-Aug,10,27.84,Indonesia,ID,
17-Aug,1,146.32,Singapore,SG,
17-Aug,2,130.68,China,CN,
17-Aug,3,129.61,United Kingdom,UK,
17-Aug,4,107.5,United States of America,US,
17-Aug,5,89.93,Japan,JP,
17-Aug,6,88.8,Malaysia,MY,
17-Aug,7,60.56,Australia,AU,
17-Aug,8,53.76,New Zealand,NZ,
17-Aug,9,39.94,India,IN,
17-Aug,10,30.45,Indonesia,ID,
24-Aug,1,148.92,Singapore,SG,
24-Aug,2,139.75,United Kingdom,UK,
24-Aug,3,136.8,China,CN,
24-Aug,4,109.31,United States of America,US,
24-Aug,5,99,Malaysia,MY,
24-Aug,6,96.96,Japan,JP,
24-Aug,7,67.63,Australia,AU,
24-Aug,8,60.55,New Zealand,NZ,
24-Aug,9,42.25,India,IN,
24-Aug,10,32.97,Indonesia,ID,
31-Aug,1,150.77,Singapore,SG,
31-Aug,2,143.16,China,CN,
31-Aug,3,133.41,United Kingdom,UK,
31-Aug,4,111.2,United States of America,US,
31-Aug,5,106.64,Malaysia,MY,
31-Aug,6,103.85,Japan,JP,
31-Aug,7,75.08,Australia,AU,
31-Aug,8,72.22,New Zealand,NZ,
31-Aug,9,46.27,India,IN,
31-Aug,10,35.81,Indonesia,ID,