Date,Deaths1,BID,Deaths
2021-06-01,71,5,76
2021-06-02,126,10,136
2021-06-03,103,9,112
2021-06-04,86,7,93
2021-06-05,109,9,118
2021-06-06,87,6,93
2021-06-07,82,6,88
2021-06-08,76,5,81
2021-06-09,75,11,86
2021-06-10,73,6,79
2021-06-11,84,16,100
2021-06-12,76,5,81
2021-06-13,64,6,70
2021-06-14,60,3,63
2021-06-15,101,9,110
2021-06-16,73,9,82
2021-06-17,60,2,62
2021-06-18,74,6,80
2021-06-19,72,11,83
2021-06-20,60,7,67
2021-06-21,69,5,74
2021-06-22,77,11,88
2021-06-23,83,10,93
2021-06-24,84,11,95
2021-06-25,82,17,99
2021-06-26,81,10,91
2021-06-27,60,9,69
2021-06-28,57,4,61
2021-06-29,107,14,121
2021-06-30,62,7,69
2021-07-01,84,9,93
2021-07-02,73,13,86
2021-07-03,107,14,121
2021-07-04,63,7,70
2021-07-05,77,13,90
2021-07-06,103,12,115
2021-07-07,91,10,101
2021-07-08,135,20,155
2021-07-09,77,8,85
2021-07-10,87,8,95
2021-07-11,91,10,101
2021-07-12,102,14,116
2021-07-13,125,16,141
2021-07-14,118,13,131
2021-07-15,110,15,125
2021-07-16,115,24,139
2021-07-17,138,18,156
2021-07-18,153,24,177
2021-07-19,129,13,142
2021-07-20,93,10,103
2021-07-21,199,33,232
2021-07-22,134,22,156
2021-07-23,144,8,152
2021-07-24,184,32,216
2021-07-25,92,8,100
2021-07-26,207,14,221
2021-07-27,207,31,238
2021-07-28,143,14,157
2021-07-29,174,28,202
2021-07-30,134,9,143
2021-07-31,165,12,177
2021-08-01,160,20,180
2021-08-02,219,21,240
2021-08-03,195,34,229
2021-08-04,257,21,278
2021-08-05,164,22,186
2021-08-06,160,24,184
2021-08-07,210,34,244
2021-08-08,360,85,445
2021-08-09,212,16,228
2021-08-10,201,34,235
2021-08-11,211,16,227
2021-08-12,318,93,411
2021-08-13,277,96,373
2021-08-14,260,68,328
2021-08-15,282,101,383
2021-08-16,274,77,351
2021-08-17,293,44,337
2021-08-18,225,35,260
2021-08-19,178,35,213
2021-08-20,233,60,293
2021-08-21,223,35,258
2021-08-22,232,43,275
2021-08-23,174,21,195
2021-08-24,211,40,251
2021-08-25,265,69,334
2021-08-26,393,100,493
2021-08-27,339,99,438
2021-08-28,252,31,283
2021-08-29,285,51,336
2021-08-30,295,53,348
2021-08-31,282,98,380